Sample,mCherry median,GFP median,mCherry/GFP (scaled)
mCherry_P2A_OPT_mir-17_wt,924.94,226.2,0.9870569461
mCherry_P2A_OPT_mir-17_wt,788.88,212.34,0.8968098736
mCherry_P2A_OPT_mir-17_wt,839.25,214.88,0.9427935504
mCherry_P2A_OPT_mir-17_wt,729.76,189.86,0.9278287523
mCherry_P2A_OPT_mir-17_wt,892.96,198.85,1.083995946
mCherry_P2A_OPT_mir-17_wt,812.83,204.35,0.9601660158
mCherry_P2A_OPT_mir-17_wt,841.58,204.89,0.9915072447
mCherry_P2A_OPT_mir-17_wt,875.04,198.48,1.064222418
mCherry_P2A_OPT_mir-17_wt,956.42,208.21,1.108838543
mCherry_P2A_OPT_mir-17_wt,794.92,210.38,0.9120953075
mCherry_P2A_OPT_mir-17_wt,930.88,210.43,1.067842724
mCherry_P2A_OPT_mir-17_wt,810.13,185.04,1.056842679
mCherry_P2A_OPT_mir-17_wt,899.2,194.3,1.005200647
mCherry_P2A_OPT_mir-17_wt,917.26,192.49,1.035031445
mCherry_P2A_OPT_mir-17_wt,877.71,205.3,0.928605729
mCherry_P2A_OPT_mir-17_wt,879.38,194.14,0.9838543734
mCherry_P2A_OPT_mir-17_wt,935.75,214.97,0.9454775932
mCherry_P2A_OPT_mir-17_wt,882.27,191.46,1.000904678
mCherry_P2A_OPT_mir-17_wt,945.72,190.26,1.079653365
mCherry_P2A_OPT_mir-17_wt,925.86,190.25,1.057036339
mCherry_P2A_OPT_mir-17_wt,882.11,200.1,0.9575135279
mCherry_P2A_OPT_mir-17_wt,809.3,174.61,1.006722302
mCherry_P2A_OPT_mir-17_mut,1010.68,179.71,1.357571386
mCherry_P2A_OPT_mir-17_mut,1067.33,187.59,1.373441865
mCherry_P2A_OPT_mir-17_mut,1144.01,203.62,1.356221534
mCherry_P2A_OPT_mir-17_mut,1238.88,204.39,1.463156721
mCherry_P2A_OPT_mir-17_mut,1133.28,202.48,1.351065302
mCherry_P2A_OPT_mir-17_mut,1236.94,202.91,1.471520888
mCherry_P2A_OPT_mir-17_mut,940.38,172.5,1.315938317
mCherry_P2A_OPT_mir-17_mut,1138.98,201.9,1.361761424
mCherry_P2A_OPT_mir-17_mut,1127.6,203.44,1.33795026
mCherry_P2A_OPT_mir-17_mut,1210.17,199.19,1.466560891
mCherry_P2A_OPT_mir-17_mut,1208.07,204.4,1.426699327
